,Feature name,Decision Tree,XGBoost
504,x4_F-Pace,4.324777888508515e-05,0.0
341,x4_CLA,4.313634930341282e-05,0.0
1170,x5_Benzyna+LPG,4.197265166306224e-05,0.0
1043,x4_Traveller,4.144843380497245e-05,0.0
749,x4_Mustang,4.103693032455755e-05,0.0004238836759338107
1213,x10_Francja,4.072440136926658e-05,0.0
998,x4_TT S,4.046370033508775e-05,0.0
545,x4_GLA,4.0198876175166874e-05,0.0
179,x4_508,3.9965055521369824e-05,0.0
1249,x18_Tak,3.986066653128074e-05,0.0
474,x4_ES,3.970553408308134e-05,0.0
571,x4_Golf,3.9670824053586766e-05,0.0
577,x4_Grand Caravan,3.825162245261247e-05,0.0
64,x3_Nissan,3.7580602130148736e-05,0.0
659,x4_Kona,3.7170996177797904e-05,0.0
27,x3_Dacia,3.70869176611657e-05,0.0
261,x4_Astra,3.7077644969518485e-05,0.0
935,x4_Seria 2,3.6941408717546547e-05,0.0
73,x3_Renault,3.6427206306219445e-05,0.0
767,x4_Octavia,3.593565006282651e-05,0.0
1217,x10_Inny,3.5876050835349324e-05,0.0
1082,x4_Vivaro,3.497888884066412e-05,0.0
1041,x4_Transit Custom,3.4223366617466726e-05,0.0
560,x4_Gallardo,3.374520500280375e-05,0.00026529598841769575
1151,x4_e-tron,3.346722767938513e-05,0.0
36,x3_Honda,3.330717288651714e-05,0.0
122,x4_1M,3.254476962032608e-05,0.0
934,x4_Seria 1,3.180455611736076e-05,0.0
864,x4_Ranger,3.176818326097688e-05,0.0
72,x3_RAM,3.164390882106774e-05,0.0
172,x4_4C,3.1198293909432025e-05,0.0
77,x3_Seat,3.1122413838953135e-05,0.0
574,x4_GranCabrio,3.092662220803722e-05,0.0
661,x4_Kuga,3.081247538589822e-05,0.0
1101,x4_X1,3.074717097996481e-05,0.0
462,x4_Ducato,3.0433309582668032e-05,0.0
1205,x10_Belgia,2.925871741370735e-05,0.0
1250,x19_Tak,2.8701627753592227e-05,0.0
